अँग	a mq g a
अंतर्राष्ट्रीय	a q t a r a r a aa sx a tx a r a ii y a
अंतर्विरोध	a q t a r a w a i r a o dh a
अंतस	a q t a s a
अंतहीन	a q t a h a ii n a
अंतिम	a q t a i m a
अंदर	a q d a r a
अंदाज़	a q d a aa z a
अंदाज़ा	a q d a aa z a aa
अंदाजा	a q d a aa j a aa
अंदेशा	a q d a ee sh a aa
अंधक	a q dh a k a
अंधकार	a q dh a k a aa r a
अंधविश्वासों	a q dh a w a i sh a w a aa s a o q
अंधा	a q dh a aa
अंधाधुंध	a q dh a aa dh a u q dh a
अंधेपन	a q dh a ee p a n a
अंधेर	a q dh a ee r a
अंधेरा	a q dh a ee r a aa
अंधेरी	a q dh a ee r a ii
अंधेरे	a q dh a ee r a ee
अंधों	a q dh a o q
अंपायर	a q p a aa y a r a
अंबर	a q b a r a
अंबाजोगाई	a q b a aa j a o g a aa ii
अंबानी	a q b a aa n a ii
अंबिकापुर	a q b a i k a aa p a u r a
अंबेडकर	a q b a ee dx a k a r a
अंवरी	a q w a r a ii
अंश	a q sh a
अंशुमाला	a q sh a u m a aa l a aa
अकथनीय	a k a th a n a ii y a
अकबका	a k a b a k a aa
अकबर	a k a b a r a
अकबरा	a k a b a r a aa
अकसर	a k a s a r a
अकस्मात्	a k a s a m a aa t a
अक़्सर	a kq a s a r a
अकाउंट	a k a aa u q tx a
अकादमिक	a k a aa d a m a i k a
अकादमियों	a k a aa d a m a i y a o q
अकादमी	a k a aa d a m a ii
अकारण	a k a aa r a nx a
अकाल	a k a aa l a
अकेला	a k a ee l a aa
अकेली	a k a ee l a ii
अकेले	a k a ee l a ee
अक्का	a k a k a aa
अक्टूबर	a k a tx a uu b a r a
अक्तूबर	a k a t a uu b a r a
अक्रूर	a k a r a uu r a
अक्ल	a k a l a
अक्षम	a k a sx a m a
अक्षय	a k a sx a y a
अक्षर	a k a sx a r a
अक्षरज्ञान	a k a sx a r a j a nj a aa n a
अक्षरोँ	a k a sx a r a o mq
अक्षरों	a k a sx a r a o q
अक्सर	a k a s a r a
अखंडता	a kh a q dx a t a aa
अखण्ड	a kh a nx a dx a
अखण्डार्थ	a kh a nx a dx a aa r a th a
अखबार	a kh a b a aa r a
अखबारी	a kh a b a aa r a ii
अखबारों	a kh a b a aa r a o q
अखर	a kh a r a
अखरेगा	a kh a r a ee g a aa
अख़बार	a khq a b a aa r a
अख़रोट	a khq a r a o tx a
अख़्तर	a khq a t a r a
अखिल	a kh a i l a
अख्तर	a kh a t a r a
अख्तरी	a kh a t a r a ii
अख्त़र	a kh a t a r a
अख्तियार	a kh a t a i y a aa r a
अगर	a g a r a
अगरबत्तियों	a g a r a b a t a t a i y a o q
अगला	a g a l a aa
अगली	a g a l a ii
अगले	a g a l a ee
अगस्त	a g a s a t a
अगहन	a g a h a n a
अगाधू	a g a aa dh a uu
अग्नि	a g a n a i
अग्नितीन	a g a n a i t a ii n a
अग्निपुत्र	a g a n a i p a u t a r a
अग्रजिम	a g a r a j a i m a
अग्रवाल	a g a r a w a aa l a
अग्रसर	a g a r a s a r a
अघटित	a gh a tx a i t a
अघाते	a gh a aa t a ee
अघोषित	a gh a o sx a i t a
अचंभित	a c a q bh a i t a
अचम्भित	a c a m a bh a i t a
अचम्भे	a c a m a bh a ee
अचानक	a c a aa n a k a
अच्छा	a c a ch a aa
अच्छाखासा	a c a ch a aa kh a aa s a aa
अच्छी	a c a ch a ii
अच्छीबुरी	a c a ch a ii b a u r a ii
अच्छीसी	a c a ch a ii s a ii
अच्छे	a c a ch a ee
अछूता	a ch a uu t a aa
अछूती	a ch a uu t a ii
अछूते	a ch a uu t a ee
अजनबी	a j a n a b a ii
अजन्मी	a j a n a m a ii
अजमल	a j a m a l a
अजय	a j a y a
अज़मत	a z a m a t a
अज़ान	a z a aa n a
अज़ीज़	a z a ii z a
अजित	a j a i t a
अजीज	a j a ii j a
अजीब	a j a ii b a
अजीबसा	a j a ii b a s a aa
अजीबोगरीब	a j a ii b a o g a r a ii b a
अजेय	a j a ee y a
अज्ञात	a j a nj a aa t a
अज्ञान	a j a nj a aa n a
अज्ञानता	a j a nj a aa n a t a aa
अज्ञानवश	a j a nj a aa n a w a sh a
अज्ञानी	a j a nj a aa n a ii
अज्ञेय	a j a nj a ee y a
अञ्चल	a nj a c a l a
अटक	a tx a k a
अटकी	a tx a k a ii
अटके	a tx a k a ee
अटल	a tx a l a
अटारी	a tx a aa r a ii
अटूट	a tx a uu tx a
अटैची	a tx a ei c a ii
अट्टहास	a tx a tx a h a aa s a
अट्ठारह	a tx a txh a aa r a h a
अठखेलियां	a txh a kh a ee l a i y a aa q
अठहतर	a txh a h a t a r a
अठारह	a txh a aa r a h a
अठ्ठाईस	a txh a txh a aa ii s a
अड़	a dxq a
अड़तीस	a dxq a t a ii s a
अड़ियलपन	a dxq a i y a l a p a n a
अडिग	a dx a i g a
अड्डा	a dx a dx a aa
अड्डे	a dx a dx a ee
अड्डों	a dx a dx a o q
अढ़सठ	a dxhq a s a txh a
अत	a t a
अतः	a t a hq
अतएव	a t a ee w a
अतरौली	a t a r a ou l a ii
अतापता	a t a aa p a t a aa
अति	a t a i
अतिक्रमण	a t a i k a r a m a nx a
अतिक्रमणकारी	a t a i k a r a m a nx a k a aa r a ii
अतिथियों	a t a i th a i y a o q
अतिरिक्त	a t a i r a i k a t a
अतिश्योक्ति	a t a i sh a y a o k a t a i
अतीका	a t a ii k a aa
अतीत	a t a ii t a
अतुल	a t a u l a
अत्यंत	a t a y a q t a
अत्यधिक	a t a y a dh a i k a
अत्यन्त	a t a y a n a t a
अत्याचार	a t a y a aa c a aa r a
अत्याधुनिक	a t a y a aa dh a u n a i k a
अथर्व	a th a r a w a
अथवा	a th a w a aa
अदद	a d a d a
अदब	a d a b a
अदभुत	a d a bh a u t a
अदा	a d a aa
अदाओं	a d a aa o q
अदायगी	a d a aa y a g a ii
अदारा	a d a aa r a aa
अदालत	a d a aa l a t a
अदालती	a d a aa l a t a ii
अदिति	a d a i t a i
अदृश्य	a d a rq sh a y a
अद्धा	a d a dh a aa
अद्भुत	a d a bh a u t a
अद्वितीय	a d a w a i t a ii y a
अद्वैत	a d a w a ei t a
अद्वैताचार्यों	a d a w a ei t a aa c a aa r a y a o q
अधमरा	a dh a m a r a aa
अधर्म	a dh a r a m a
अधलेटे	a dh a l a ee tx a ee
अधिक	a dh a i k a
अधिकतम	a dh a i k a t a m a
अधिकतर	a dh a i k a t a r a
अधिकांश	a dh a i k a aa q sh a
अधिकांशत	a dh a i k a aa q sh a t a
अधिकांशतः	a dh a i k a aa q sh a t a hq
अधिकार	a dh a i k a aa r a
अधिकारियों	a dh a i k a aa r a i y a o q
अधिकारी	a dh a i k a aa r a ii
अधिकारों	a dh a i k a aa r a o q
अधिकृत	a dh a i k a rq t a
अधिग्रहण	a dh a i g a r a h a nx a
अधिनायक	a dh a i n a aa y a k a
अधिवेशन	a dh a i w a ee sh a n a
अधीक्षक	a dh a ii k a sx a k a
अधीति	a dh a ii t a i
अधीरता	a dh a ii r a t a aa
अधूरी	a dh a uu r a ii
अधूरे	a dh a uu r a ee
अधेड़	a dh a ee dxq a
अध्यक्ष	a dh a y a k a sx a
अध्यक्षता	a dh a y a k a sx a t a aa
अध्यक्षों	a dh a y a k a sx a o q
अध्ययन	a dh a y a y a n a
अध्यापक	a dh a y a aa p a k a
अध्यापकीय	a dh a y a aa p a k a ii y a
अध्यापकों	a dh a y a aa p a k a o q
अध्यापिकी	a dh a y a aa p a i k a ii
अध्याय	a dh a y a aa y a
अध्यायों	a dh a y a aa y a o q
अध्येता	a dh a y a ee t a aa
अनंगक्रीड़ा	a n a q g a k a r a ii dxq a aa
अनंतर	a n a q t a r a
अनगिनत	a n a g a i n a t a
अनजाना	a n a j a aa n a aa
अनजानी	a n a j a aa n a ii
अनजाने	a n a j a aa n a ee
अनन्यता	a n a n a y a t a aa
अनपढ़	a n a p a dxhq a
अनपेक्षित	a n a p a ee k a sx a i t a
अनपोतु	a n a p a o t a u
अनभिज्ञ	a n a bh a i j a nj a
अनभिज्ञता	a n a bh a i j a nj a t a aa
अनमना	a n a m a n a aa
अनमोल	a n a m a o l a
अनर्गल	a n a r a g a l a
अनवरत	a n a w a r a t a
अनसुनी	a n a s a u n a ii
अनाचार	a n a aa c a aa r a
अनाज	a n a aa j a
अनाथ	a n a aa th a
अनायास	a n a aa y a aa s a
अनावश्यक	a n a aa w a sh a y a k a
अनिबद्ध	a n a i b a d a dh a
अनियंत्रित	a n a i y a q t a r a i t a
अनिरुद्ध	a n a i r a u d a dh a
अनिल	a n a i l a
अनिला	a n a i l a aa
अनिवार्य	a n a i w a aa r a y a
अनिश्चितता	a n a i sh a c a i t a t a aa
अनिष्ट	a n a i sx a tx a
अनिष्टकारी	a n a i sx a tx a k a aa r a ii
अनीता	a n a ii t a aa
अनीस	a n a ii s a
अनु	a n a u
अनुकरणीय	a n a u k a r a nx a ii y a
अनुकूल	a n a u k a uu l a
अनुकूलक	a n a u k a uu l a k a
अनुगमन	a n a u g a m a n a
अनुचित	a n a u c a i t a
अनुच्छेद	a n a u c a ch a ee d a
अनुदेशन	a n a u d a ee sh a n a
अनुपमा	a n a u p a m a aa
अनुपस्थित	a n a u p a s a th a i t a
अनुपस्थिति	a n a u p a s a th a i t a i
अनुपात	a n a u p a aa t a
अनुप्रास	a n a u p a r a aa s a
अनुबंध	a n a u b a q dh a
अनुभव	a n a u bh a w a
अनुभवहीन	a n a u bh a w a h a ii n a
अनुभवहीनता	a n a u bh a w a h a ii n a t a aa
अनुभवी	a n a u bh a w a ii
अनुभवों	a n a u bh a w a o q
अनुभूति	a n a u bh a uu t a i
अनुमति	a n a u m a t a i
अनुमतियों	a n a u m a t a i y a o q
अनुमान	a n a u m a aa n a
अनुमानतः	a n a u m a aa n a t a hq
अनुमानित	a n a u m a aa n a i t a
अनुमोदित	a n a u m a o d a i t a
अनुयायी	a n a u y a aa y a ii
अनुरक्	a n a u r a k a
अनुराग	a n a u r a aa g a
अनुरूप	a n a u r a uu p a
अनुरोध	a n a u r a o dh a
अनुवर्तन	a n a u w a r a t a n a
अनुवाद	a n a u w a aa d a
अनुवादकों	a n a u w a aa d a k a o q
अनुवादित	a n a u w a aa d a i t a
अनुशासन	a n a u sh a aa s a n a
अनुशासनों	a n a u sh a aa s a n a o q
अनुशासित	a n a u sh a aa s a i t a
अनुष्ठान	a n a u sx a txh a aa n a
अनुसंधान	a n a u s a q dh a aa n a
अनुसंधानों	a n a u s a q dh a aa n a o q
अनुसन्धान	a n a u s a n a dh a aa n a
अनुसार	a n a u s a aa r a
अनुस्वार	a n a u s a w a aa r a
अनूठा	a n a uu txh a aa
अनूठी	a n a uu txh a ii
अनूठे	a n a uu txh a ee
अनूदित	a n a uu d a i t a
अनूपपुर	a n a uu p a p a u r a
अनेक	a n a ee k a
अनेकों	a n a ee k a o q
अनैतिकता	a n a ei t a i k a t a aa
अनोखी	a n a o kh a ii
अन्जान	a n a j a aa n a
अन्त	a n a t a
अन्तः	a n a t a hq
अन्तःकरण	a n a t a hq k a r a nx a
अन्तःकरणों	a n a t a hq k a r a nx a o q
अन्ततः	a n a t a t a hq
अन्तर	a n a t a r a
अन्तरंग	a n a t a r a q g a
अन्तरराष्ट्रीय	a n a t a r a r a aa sx a tx a r a ii y a
अन्तराल	a n a t a r a aa l a
अन्तरालों	a n a t a r a aa l a o q
अन्तरिक्ष	a n a t a r a i k a sx a
अन्तर्गत	a n a t a r a g a t a
अन्तर्निहित	a n a t a r a n a i h a i t a
अन्तर्मन	a n a t a r a m a n a
अन्तर्वेदना	a n a t a r a w a ee d a n a aa
अन्तर्सम्बंधों	a n a t a r a s a m a b a q dh a o q
अन्ताक्षरी	a n a t a aa k a sx a r a ii
अन्तिम	a n a t a i m a
अन्दर	a n a d a r a
अन्दाज़	a n a d a aa z a
अन्धे	a n a dh a ee
अन्धेरे	a n a dh a ee r a ee
अन्न	a n a n a
अन्नदाता	a n a n a d a aa t a aa
अन्य	a n a y a
अन्यतकालिक	a n a y a t a k a aa l a i k a
अन्यत्र	a n a y a t a r a
अन्यथा	a n a y a th a aa
अन्यमनस्कता	a n a y a m a n a s a k a t a aa
अन्यान्य	a n a y a aa n a y a
अन्याय	a n a y a aa y a
अन्यायपूर्ण	a n a y a aa y a p a uu r a nx a
अन्यायी	a n a y a aa y a ii
अन्योन्याश्रितों	a n a y a o n a y a aa sh a r a i t a o q
अन्वेषण	a n a w a ee sx a nx a
अऩाज	a aa j a
अऩुदान	a u d a aa n a
अऩेक	a ee k a
अऩ्य	a y a
अपग्रेडस्वास्थ्य	a p a g a r a ee dx a s a w a aa s a th a y a
अपनत्व	a p a n a t a w a
अपना	a p a n a aa
अपनाअपना	a p a n a aa a p a n a aa
अपनाकर	a p a n a aa k a r a
अपनाना	a p a n a aa n a aa
अपनाने	a p a n a aa n a ee
अपनाया	a p a n a aa y a aa
अपनी	a p a n a ii
अपनीअपनी	a p a n a ii a p a n a ii
अपने	a p a n a ee
अपनेअपने	a p a n a ee a p a n a ee
अपनेआप	a p a n a ee aa p a
अपभ्रम	a p a bh a r a m a
अपमान	a p a m a aa n a
अपर	a p a r a
अपराजेय	a p a r a aa j a ee y a
अपराध	a p a r a aa dh a
अपराधबोध	a p a r a aa dh a b a o dh a
अपराधी	a p a r a aa dh a ii
अपर्याप्त	a p a r a y a aa p a t a
अपवाद	a p a w a aa d a
अपवादों	a p a w a aa d a o q
अपवित्र	a p a w a i t a r a
अपशिष्ट	a p a sh a i sx a tx a
अपशिष्टों	a p a sh a i sx a tx a o q
अपात्र	a p a aa t a r a
अपान	a p a aa n a
अपार	a p a aa r a
अपार्टमेंट	a p a aa r a tx a m a ee q tx a
अपितु	a p a i t a u
अपील	a p a ii l a
अपुन	a p a u n a
अपूर्ण	a p a uu r a nx a
अपूर्व	a p a uu r a w a
अपृथकता	a p a rq th a k a t a aa
अपेक्षा	a p a ee k a sx a aa
अपेक्षाकृत	a p a ee k a sx a aa k a rq t a
अपेक्षित	a p a ee k a sx a i t a
अप्रतिम	a p a r a t a i m a
अप्रतिरोध्य	a p a r a t a i r a o dh a y a
अप्रत्याशित	a p a r a t a y a aa sh a i t a
अप्रमाद	a p a r a m a aa d a
अप्राकृत	a p a r a aa k a rq t a
अप्रैल	a p a r a ei l a
अप्लाइड	a p a l a aa i dx a
अफगानिस्तान	a ph a g a aa n a i s a t a aa n a
अफवाह	a ph a w a aa h a
अफवाहों	a ph a w a aa h a o q
अफसर	a ph a s a r a
अफसरों	a ph a s a r a o q
अफसोस	a ph a s a o s a
अफ़ग़ान	a f a gq a aa n a
अफ़ग़ानिस्तान	a f a gq a aa n a i s a t a aa n a
अफ़ग़ानी	a f a gq a aa n a ii
अफ़ग़ानों	a f a gq a aa n a o q
अफ़गानी	a f a g a aa n a ii
अफ़गानों	a f a g a aa n a o q
अफ़वाह	a f a w a aa h a
अफ़वाहों	a f a w a aa h a o q
अफ़सर	a f a s a r a
अफ़सरों	a f a s a r a o q
अफ़सोस	a f a s a o s a
अफ़्रीका	a f a r a ii k a aa
अफ़्रीकी	a f a r a ii k a ii
अफीम	a ph a ii m a
अफेयर	a ph a ee y a r a
अफ्रीका	a ph a r a ii k a aa
अफ्ऱीका	a ph a ii k a aa
अब	a b a
अबतक	a b a t a k a
अब़	a b a
अबीगेल	a b a ii g a ee l a
अबे	a b a ee
अब्दाली	a b a d a aa l a ii
अब्दुल	a b a d a u l a
अब्दुलहक़	a b a d a u l a h a kq a
अब्दुल्ल	a b a d a u l a l a
अब्दुल्ला	a b a d a u l a l a aa
अब्बा	a b a b a aa
अब्बास	a b a b a aa s a
अब्रोड	a b a r a o dx a
अभद्र	a bh a d a r a
अभद्रता	a bh a d a r a t a aa
अभय	a bh a y a
अभयारण्य	a bh a y a aa r a nx a y a
अभागा	a bh a aa g a aa
अभाव	a bh a aa w a
अभि	a bh a i
अभिनन्दन	a bh a i n a n a d a n a
अभिनय	a bh a i n a y a
अभिनेता	a bh a i n a ee t a aa
अभिनेताओं	a bh a i n a ee t a aa o q
अभिनेत्रियों	a bh a i n a ee t a r a i y a o q
अभिभावकगण	a bh a i bh a aa w a k a g a nx a
अभिभावकों	a bh a i bh a aa w a k a o q
अभिभाषण	a bh a i bh a aa sx a nx a
अभियंत्रण	a bh a i y a q t a r a nx a
अभियान	a bh a i y a aa n a
अभियुक्त	a bh a i y a u k a t a
अभिलाषा	a bh a i l a aa sx a aa
अभिलेख	a bh a i l a ee kh a
अभिवादन	a bh a i w a aa d a n a
अभिव्यक्ति	a bh a i w a y a k a t a i
अभिशाप	a bh a i sh a aa p a
अभिषेक	a bh a i sx a ee k a
अभी	a bh a ii
अभीअभी	a bh a ii a bh a ii
अभीक़	a bh a ii kq a
अभूतपूर्व	a bh a uu t a p a uu r a w a
अभ्यस्त	a bh a y a s a t a
अभ्यागत	a bh a y a aa g a t a
अभ्यास	a bh a y a aa s a
अमतुसलाम	a m a t a u s a l a aa m a
अमन	a m a n a
अमनसिंह	a m a n a s a i q h a
अमर	a m a r a
अमरदासजी	a m a r a d a aa s a j a ii
अमरनाथ	a m a r a n a aa th a
अमरमणि	a m a r a m a nx a i
अमरसिंह	a m a r a s a i q h a
अमरावती	a m a r a aa w a t a ii
अमरिकन	a m a r a i k a n a
अमरिकी	a m a r a i k a ii
अमरीका	a m a r a ii k a aa
अमरीकी	a m a r a ii k a ii
अमरेंद्र	a m a r a ee q d a r a
अमऱ	a m a
अमलताश	a m a l a t a aa sh a
अमानत	a m a aa n a t a
अमानवीय	a m a aa n a w a ii y a
अमानुष	a m a aa n a u sx a
अमानुषिक	a m a aa n a u sx a i k a
अमिट	a m a i tx a
अमिता	a m a i t a aa
अमिताभ	a m a i t a aa bh a
अमीन	a m a ii n a
अमीर	a m a ii r a
अमीरगरीब	a m a ii r a g a r a ii b a
अमीरों	a m a ii r a o q
अमूर्त	a m a uu r a t a
अमूल्य	a m a uu l a y a
अमृत	a m a rq t a
अमृतत्व	a m a rq t a t a w a
अमृतसर	a m a rq t a s a r a
अमृता	a m a rq t a aa
अमेज़ॅन	a m a ee z a n a
अमेरिका	a m a ee r a i k a aa
अमेरिकाऱ्यूरोप	a m a ee r a i k a aa y a uu r a o p a
अमेरिकी	a m a ee r a i k a ii
अम्पायर	a m a p a aa y a r a
अम्बर	a m a b a r a
अम्बरसर	a m a b a r a s a r a
अम्बा	a m a b a aa
अम्बालिका	a m a b a aa l a i k a aa
अम्मा	a m a m a aa
अम्माँ	a m a m a aa mq
अम्मी	a m a m a ii
अम्मीजान	a m a m a ii j a aa n a
अम्मीजी	a m a m a ii j a ii
अम्र	a m a r a
अम्ल	a m a l a
अयोग्य	a y a o g a y a
अयोध्या	a y a o dh a y a aa
अरब	a r a b a
अरबी	a r a b a ii
अरमानों	a r a m a aa n a o q
अरविन्द	a r a w a i n a d a
अरसा	a r a s a aa
अरसे	a r a s a ee
अरस्तु	a r a s a t a u
अरस्तू	a r a s a t a uu
अरिष्टनेमा	a r a i sx a tx a n a ee m a aa
अरी	a r a ii
अरुचि	a r a u c a i
अरुण	a r a u nx a
अरुणा	a r a u nx a aa
अरूणिमा	a r a uu nx a i m a aa
अरे	a r a ee
अरोड़ा	a r a o dxq a aa
अर्क	a r a k a
अर्ज़	a r a z a
अर्जित	a r a j a i t a
अर्जी	a r a j a ii
अर्जुन	a r a j a u n a
अर्थ	a r a th a
अर्थवाद	a r a th a w a aa d a
अर्थवान	a r a th a w a aa n a
अर्थविज्ञानी	a r a th a w a i j a nj a aa n a ii
अर्थव्यवस्था	a r a th a w a y a w a s a th a aa
अर्थशास्त्र	a r a th a sh a aa s a t a r a
अर्थशास्त्रियों	a r a th a sh a aa s a t a r a i y a o q
अर्थशास्त्री	a r a th a sh a aa s a t a r a ii
अर्थात	a r a th a aa t a
अर्थात्	a r a th a aa t a
अर्थों	a r a th a o q
अर्दली	a r a d a l a ii
अर्द्धसैनिक	a r a d a dh a s a ei n a i k a
अर्ध	a r a dh a
अर्धकथानक	a r a dh a k a th a aa n a k a
अर्धशतकीय	a r a dh a sh a t a k a ii y a
अर्नेस्ट	a r a n a ee s a tx a
अऱविंद	a w a i q d a
अऱुण	a u nx a
अल	a l a
अलंकरण	a l a q k a r a nx a
अलंकार	a l a q k a aa r a
अलंकारो	a l a q k a aa r a o
अलंकृत	a l a q k a rq t a
अलंघ्य	a l a q gh a y a
अलका	a l a k a aa
अलकीमियागरों	a l a k a ii m a i y a aa g a r a o q
अलकेमिस्ट	a l a k a ee m a i s a tx a
अलक्षित	a l a k a sx a i t a
अलग	a l a g a
अलगअलग	a l a g a a l a g a
अलगाते	a l a g a aa t a ee
अलगाना	a l a g a aa n a aa
अलगाव	a l a g a aa w a
अलगाववादी	a l a g a aa w a w a aa d a ii
अलगोरिज्म	a l a g a o r a i j a m a
अलगोरिथम	a l a g a o r a i th a m a
अलङ्कार	a l a ng a k a aa r a
अलङ्कारयोजना	a l a ng a k a aa r a y a o j a n a aa
अलङ्कारों	a l a ng a k a aa r a o q
अलफतह	a l a ph a t a h a
अलबत्ता	a l a b a t a t a aa
अलबम	a l a b a m a
अलर्ट	a l a r a tx a
अलविदा	a l a w a i d a aa
अलसाई	a l a s a aa ii
अलसुबह	a l a s a u b a h a
अलां	a l a aa q
अलाउद्दीन	a l a aa u d a d a ii n a
अलावा	a l a aa w a aa
अलिखित	a l a i kh a i t a
अली	a l a ii
अलीमर्दान	a l a ii m a r a d a aa n a
अलीवर्दी	a l a ii w a r a d a ii
अल्कोहल	a l a k a o h a l a
अल्ख्वारिज्मी	a l a kh a w a aa r a i j a m a ii
अल्ट्रासाउण्ड	a l a tx a r a aa s a aa u nx a dx a
अल्पना	a l a p a n a aa
अल्पमत	a l a p a m a t a
अल्पविकसित	a l a p a w a i k a s a i t a
अल्पसंख्यक	a l a p a s a q kh a y a k a
अल्फ्रेडो	a l a ph a r a ee dx a o
अल्बर्ट	a l a b a r a tx a
अल्ला	a l a l a aa
अल्लाह	a l a l a aa h a
अवगत	a w a g a t a
अवगुंठित	a w a g a u q txh a i t a
अवज्ञापूर्ण	a w a j a nj a aa p a uu r a nx a
अवतरित	a w a t a r a i t a
अवतार	a w a t a aa r a
अवतारों	a w a t a aa r a o q
अवधारणा	a w a dh a aa r a nx a aa
अवधि	a w a dh a i
अवनति	a w a n a t a i
अवयय	a w a y a y a
अवर	a w a r a
अवरुद्ध	a w a r a u d a dh a
अवरूद्ध	a w a r a uu d a dh a
अवरोध	a w a r a o dh a
अवरोधक	a w a r a o dh a k a
अवरोह	a w a r a o h a
अवलोकन	a w a l a o k a n a
अवशेष	a w a sh a ee sx a
अवशोषित	a w a sh a o sx a i t a
अवश्य	a w a sh a y a
अवश्यम्भावी	a w a sh a y a m a bh a aa w a ii
अवसर	a w a s a r a
अवसरों	a w a s a r a o q
अवस्था	a w a s a th a aa
अवस्थापूर्ण	a w a s a th a aa p a uu r a nx a
अवस्थिति	a w a s a th a i t a i
अवांछित	a w a aa q ch a i t a
अवाक्	a w a aa k a
अवामी	a w a aa m a ii
अवार्ड	a w a aa r a dx a
अविजित	a w a i j a i t a
अविद्या	a w a i d a y a aa
अविनाश	a w a i n a aa sh a
अविनाशचन्द्र	a w a i n a aa sh a c a n a d a r a
अविनाशजी	a w a i n a aa sh a j a ii
अविवाहित	a w a i w a aa h a i t a
अविवेकपूर्ण	a w a i w a ee k a p a uu r a nx a
अवैतनिक	a w a ei t a n a i k a
अवैधानिक	a w a ei dh a aa n a i k a
अव्यक्त	a w a y a k a t a
अशांति	a sh a aa q t a i
अशिक्षितों	a sh a i k a sx a i t a o q
अशोक	a sh a o k a
अशोकनाथ	a sh a o k a n a aa th a
अश्रु	a sh a r a u
अश्वघोष	a sh a w a gh a o sx a
अश्वत्थामा	a sh a w a t a th a aa m a aa
अश्वारोही	a sh a w a aa r a o h a ii
अश्वेत	a sh a w a ee t a
असंतुलित	a s a q t a u l a i t a
असंतुष्ट	a s a q t a u sx a tx a
असंतोष	a s a q t a o sx a
असंभव	a s a q bh a w a
असङ्गता	a s a ng a g a t a aa
असद	a s a d a
असन्तोष	a s a n a t a o sx a
असफल	a s a ph a l a
असफलताओं	a s a ph a l a t a aa o q
असबाती	a s a b a aa t a ii
असम	a s a m a
असमंजस	a s a m a q j a s a
असमताओं	a s a m a t a aa o q
असमर्थ	a s a m a r a th a
असर	a s a r a
असरदार	a s a r a d a aa r a
असरफी	a s a r a ph a ii
असल	a s a l a
असलम	a s a l a m a
असली	a s a l a ii
असहनीय	a s a h a n a ii y a
असहमति	a s a h a m a t a i
असहयोग	a s a h a y a o g a
असहाय	a s a h a aa y a
असहिष्णु	a s a h a i sx a nx a u
असहिष्णुता	a s a h a i sx a nx a u t a aa
असामाजिक	a s a aa m a aa j a i k a
असामान्य	a s a aa m a aa n a y a
असावधानी	a s a aa w a dh a aa n a ii
असिमोव	a s a i m a o w a
असीम	a s a ii m a
असीमित	a s a ii m a i t a
असुर	a s a u r a
असुरक्षा	a s a u r a k a sx a aa
अस्तव्यस्त	a s a t a w a y a s a t a
अस्तित्व	a s a t a i t a w a
अस्तु	a s a t a u
अस्त्र	a s a t a r a
अस्थायी	a s a th a aa y a ii
अस्थिरता	a s a th a i r a t a aa
अस्पताल	a s a p a t a aa l a
अस्पतालों	a s a p a t a aa l a o q
अस्पष्ट	a s a p a sx a tx a
