language,condition,sentence_id,filename,text,phonemes,output_phonemes,unknown_words
gu,clustered,10,gu\clustered_10.wav,અમે બધા સાથે મળીને કામ કરીશું,a m a ee b a dh a aa s a aa th a ee m a lx a ii n a ee k a aa m a k a r a ii sh a u q,a m a ee b a dh a aa s a aa th a ee m a l a i n a ee k a aa m a k a r a i sh a u mq,
mr,baseline,1,mr\baseline_01.wav,भारत एक महान देश आहे,bh a aa r a t a ee k a m a h a aa n a d a ee sh a aa h a ee,bh a aa r a t a ee k a m a h a aa n a d a ee sh a aa h a ee,
mr,baseline,2,mr\baseline_02.wav,आज हवामान खूप चांगले आहे,aa j a h a w a aa m a aa n a kh a uu p a c a aa q g a l a ee aa h a ee,aa j a h a w a aa m a aa n a kh a uu p a c a aa q g a l a ee aa h a ee,
mr,baseline,3,mr\baseline_03.wav,मला मराठी बोलायला आवडते,m a l a aa m a r a aa txh a ii b a o l a aa y a l a aa aa w a dx a t a ee,m a l a aa m a r a aa txh a ii b a o l a aa y a l a aa aa w a dx a t a ee,
mr,baseline,4,mr\baseline_04.wav,कृपया येथे बसा,k a rq p a y a aa y a ee th a ee b a s a aa,k a rq p a y a aa y a ee th a ee b a s a aa,
mr,baseline,5,mr\baseline_05.wav,हे पुस्तक खूप रोचक आहे,h a ee p a u s a t a k a kh a uu p a r a o c a k a aa h a ee,h a ee p a u s a t a k a kh a uu p a r a o c a k a aa h a ee,
mr,baseline,6,mr\baseline_06.wav,सूर्य पूर्वेकडून उगवतो,s a uu r a y a प ू र ् व े क ड ू न उ ग व त ो,s a uu r a y a प ू र ् व े क ड ू न उ ग व त ो,पूर्वेकडून|उगवतो
mr,baseline,7,mr\baseline_07.wav,मुले बागेत खेळत आहेत,m a u l a ee b a aa g a ee t a kh a ee lx a t a aa h a ee t a,m a u l a ee b a aa g a ee t a kh a ee lx a t a aa h a ee t a,
mr,baseline,8,mr\baseline_08.wav,नमस्कार तुम्ही कसे आहात,n a m a s a k a aa r a t a u m a h a ii k a s a ee aa h a aa t a,n a m a s a k a aa r a t a u m a h a ii k a s a ee aa h a aa t a,
mr,baseline,9,mr\baseline_09.wav,माझे नाव कुश आहे,m a aa jh a ee n a aa w a क ु श aa h a ee,m a aa jh a ee n a aa w a क ु श aa h a ee,कुश
mr,baseline,10,mr\baseline_10.wav,आम्ही सर्व मिळून काम करू,aa m a h a ii s a r a w a m a i lx a uu n a k a aa m a k a r a uu,aa m a h a ii s a r a w a m a i lx a uu n a k a aa m a k a r a uu,
mr,clustered,1,mr\clustered_01.wav,भारत एक महान देश आहे,bh a aa r a t a ee k a m a h a aa n a d a ee sh a aa h a ee,bh a aa r a t a ee k a m a h a aa n a d a ee sh a aa h a ee,
mr,clustered,2,mr\clustered_02.wav,आज हवामान खूप चांगले आहे,aa j a h a w a aa m a aa n a kh a uu p a c a aa q g a l a ee aa h a ee,aa j a h a w a aa m a aa n a kh a u p a c a aa mq g a l a ee aa h a ee,
mr,clustered,3,mr\clustered_03.wav,मला मराठी बोलायला आवडते,m a l a aa m a r a aa txh a ii b a o l a aa y a l a aa aa w a dx a t a ee,m a l a aa m a r a aa txh a i b a o l a aa y a l a aa aa w a dx a t a ee,
mr,clustered,4,mr\clustered_04.wav,कृपया येथे बसा,k a rq p a y a aa y a ee th a ee b a s a aa,k a r p a y a aa y a ee th a ee b a s a aa,
mr,clustered,5,mr\clustered_05.wav,हे पुस्तक खूप रोचक आहे,h a ee p a u s a t a k a kh a uu p a r a o c a k a aa h a ee,h a ee p a u s a t a k a kh a u p a r a o c a k a aa h a ee,
mr,clustered,6,mr\clustered_06.wav,सूर्य पूर्वेकडून उगवतो,s a uu r a y a प ू र ् व े क ड ू न उ ग व त ो,s a u r a y a प ू र ् व े क ड ू न उ ग व त ो,पूर्वेकडून|उगवतो
mr,clustered,7,mr\clustered_07.wav,मुले बागेत खेळत आहेत,m a u l a ee b a aa g a ee t a kh a ee lx a t a aa h a ee t a,m a u l a ee b a aa g a ee t a kh a ee l a t a aa h a ee t a,
mr,clustered,8,mr\clustered_08.wav,नमस्कार तुम्ही कसे आहात,n a m a s a k a aa r a t a u m a h a ii k a s a ee aa h a aa t a,n a m a s a k a aa r a t a u m a h a i k a s a ee aa h a aa t a,
mr,clustered,9,mr\clustered_09.wav,माझे नाव कुश आहे,m a aa jh a ee n a aa w a क ु श aa h a ee,m a aa jh a ee n a aa w a क ु श aa h a ee,कुश
mr,clustered,10,mr\clustered_10.wav,आम्ही सर्व मिळून काम करू,aa m a h a ii s a r a w a m a i lx a uu n a k a aa m a k a r a uu,aa m a h a i s a r a w a m a i l a u n a k a aa m a k a r a u,
